"AUTHOR_ID"	"AUTHOR_NAME"	"AUTHOR_SUMMARY"
"1022076"	"ওয়ালীউদ্দিন আবু আবদুল্লাহ মুহাম্মাদ ইবনে আবদুল্লাহ আল খতীব আত তাবরিযী রহ"	
"1022077"	"ড. আবু মোহাম্মদ দেলোয়ার হোসেন"	
"1022078"	"মোহাম্মদ সানাউল্ল্যাহ"	
"1022079"	"ড. আহসান হাবিব"	
"1022080"	"ইসমাইল রফিক"	
"1022081"	"শওকত"	
"1022082"	"প্রেমানন্দ মন্ডল"	
"1022083"	"ড. মোঃ এমরাম হোসেন"	
"1022084"	"মোঃ অাব্দুল লতিফ"	
"1022085"	"করুণাময় গোস্বামী"	
"1022086"	"এ জামান চৌধুরী"	
"1022087"	"ড. অমিত্রসূদন ভট্টাচার্য"	
"1022088"	"ইমরান আহমাদ"	
"1022089"	"রেজাউল করিম সিদ্দিক"	
"1022090"	"ড. মোঃ সেলিম রেজা"	
"1022091"	"আক্তার হোসেন"	
"1022092"	"অধ্যাপক হিরেন্দ্রনাথ বিশ্বাস"	
"1022093"	"নাজমা"	
"1022094"	"হাসিবুর রহমান ইএড"	
"1022095"	"ডা. আজিজুল হক খান"	
"1022096"	"শওকত আলী খান"	
"1022097"	"ড. মাহামুদুল আলা"	
"1022098"	"শফিকুল"	
"1022099"	"ড. মোঃ সেরাজ উদ্দীন"	
"1022100"	"গিরিশ চন্দ্র ভোলানাথ"	
"1022101"	"মাহামুদুর রহমান"	
"1022102"	"সুপ্রিয়া ভট্টাচার্য্য"	
"1022103"	"শাখাওয়াত"	
"1022104"	"ড. এ.কে.এম. শওকত আলী খান"	
"1022105"	"মুহাম্মদ ইকরামুল হক"	
"1022106"	"সুলতানা কামরুন নাহার"	
"1022107"	"আব্দুস সালাম রিয়াদী"	
"1022108"	"মুহাম্মদ আতীক উল্লাহ"	
"1022109"	"প্রিন্সিপাল এম. এ. কালাম"	
"1022110"	"মুহাম্মদ সৈয়দুজ্জামান"	
"1022111"	"মোঃ মসিউর রহমান"	
"1022112"	"কুনাল বসু"	
"1022113"	"অাশোক ভট্টাচার্য"	
"1022114"	"নিয়োগ সম্পাদনা পরিষদ"	
"1022115"	"মাওলানা নাঈমুদ্দিন"	
"1022116"	"ডক্টর মুহাম্মদ কামাল উদ্দিন"	
"1022117"	"মাওলানা উবাইদুল হক সাহেব"	
"1022118"	"সুজাতা পান্থী সরকার"	
"1022119"	"মোঃ মহিউদ্দিন"	
"1022120"	"সুরেশচন্দ্র সমাজপতি"	
"1022121"	"দেবাশিস ভৌমিক"	
"1022122"	"মোঃ নাজমুল আলম (নাজু)"	
"1022123"	"পভন কে ভার্মা"	
"1022124"	"ডঃ বিমলেন্দু দাম"	
"1022125"	"রূপক চট্টোপাধ্যায়"	
"1022126"	"সৈয়দ আব্দুল্লাহ আল-হাসান"	
"1022127"	"হেমেন্দ্র বন্দোপাধ্যায়"	
"1022128"	"প্রণতি মুখোপাধ্যায়"	
"1022129"	"সন্দীপন বিশ্বাস"	
"1022130"	"কাননবিহারী ঘোষ"	
"1022131"	"মিলন চন্দ্র দাস"	
"1022132"	"ড. মোঃ আব্দুল মান্নান"	
"1022133"	"সমীরকুমার মুখোপাধ্যায়"	
"1022134"	"রণঞ্জন প্রসাদ"	
"1022135"	"অর্ধেন্দুকুমার চৌধুরী"	
"1022136"	"চন্দ্রা বিশ্বাস"	
"1022137"	"ক্যাথরিন হিউম"	
"1022138"	"পিনাকী ভাদুড়ী"	
"1022139"	"সু্খরঞ্জন সেনগুপ্ত"	
"1022140"	"নগেন্দ্রনাথ বন্দ্যোপাধ্যায়"	
"1022141"	"মোঃ ইয়াসিন"	
"1022142"	"মোঃ রেজাউল বাহার"	
"1022143"	"সাজিয়া আফরিন"	
"1022144"	"আমীনুর রশীদ চৌধুরী"	
"1022145"	"মোঃ মঞ্জুরুল ইসলাম মুন্সী"	
"1022146"	"প্রফে: খাজামাহাদি"	
"1022147"	"নাজিয়া ফেরদৌস"	
"1022148"	"শিরিন কাদীর"	
"1022149"	"ডাঃ আবদুর রব মন্ডল"	
"1022150"	"ড. রবিউল"	
"1022151"	"স্যানা উল্লাহ"	
"1022152"	"শহীদুল্লাহ"	
"1022153"	"মোঃ মাসুদুল হক সিদ্দীকি"	
"1022154"	"মোঃ সাইরুল ইসলাম"	
"1022155"	"সুখেন্দু নারায়ণ ঘোষ"	
"1022156"	"দেবাশিস আইচ"	
"1022157"	"চিরঞ্জীব বসু"	
"1022158"	"সেলিম মল্লিক"	
"1022159"	"রাখী মিত্র"	
"1022160"	"কার্তিক পাত্র"	
"1022161"	"উত্তম পুরকাইত"	
"1022162"	"কৌশল্যা গুপ্তা"	
"1022163"	"নির্বাণ বন্দ্যোপাধ্যায়"	
"1022164"	"সৈকত সিংহ"	
"1022165"	"সুদেব বক্সী"	
"1022166"	"শোভন পাত্র"	
"1022167"	"অনিমেষ বন্দ্যোপাধ্যায়"	
"1022168"	"বিতান পুরকায়স্থ"	
"1022169"	"বিশ্বদেব মুখোপাধ্যায়"	
"1022170"	"সুমন্ত চট্টোপাধ্যায়"	
"1022171"	"সুরেশ চন্দ্র নন্দী"	
"1022172"	"হরিসুমন বিষ্ট"	
"1022173"	"বিপ্লব চৌধুরী"	
"1022174"	"বিমলেশ ত্রিপাঠী"	
"1022175"	"মলয় গোস্বামী"	
"1022176"	"সিদ্ধার্থ বসু"	
"1022177"	"অশোক সিনহা"	
"1022178"	"শাহানী রাজীব"	
"1022179"	"দীপককুমার দাঁ"	
"1022180"	"দীপককুমার চৌধুরী"	
"1022181"	"নলিনীকান্ত চক্রবর্তী"	
"1022182"	"ইরিনা করশুনভ"	
"1022183"	"অঞ্জনা দাম"	
"1022184"	"অশোক কুমার ভট্টাচার্য"	
"1022185"	"স্মৃতিরতন ত্রিপাঠী"	
"1022186"	"অরুণাভ মিশ্র"	
"1022187"	"অরুণাভ রায়"	
"1022188"	"সুচিন্ত্য ভট্টাচার্য"	
"1022189"	"সত্যবাচী সর"	
"1022190"	"সোমা বসু"	
"1022191"	"সাধনা সরকার"	
"1022192"	"রমা দাস"	
"1022193"	"নীলরতন ধর"	
"1022194"	"প্রশান্ত প্রামানিক"	
"1022195"	"সজীব কুমার ঘোষ"	
"1022196"	"সনেট রেক্সা"	
"1022197"	"ফাতেমা সুলতানা সুমি"	
"1022198"	"শিকদার বাসীর"	
"1022199"	"প্রিয়মুখ"	
"1022200"	"আহমদ বুলবুল ইসলাম"	
"1022201"	"অলোককৃষ্ণ চক্রবর্তী"	
"1022202"	"সুফি রহমান"	
"1022203"	"শাহাদত হোসেন কাবিল"	
"1022204"	"এইচ বি রিতা"	
"1022205"	"প্রফেসর এ এম মজিবুর রহমান"	
"1022206"	"শরীফ মো. মিরাজ হোসাইন"	
"1022207"	"আবু তাহের হোসেন"	
"1022208"	"র‌্যাডিকেল সম্পাদনা পরিষদ"	
"1022209"	"হযরত মাওলানা মুফতী সাইয়্যেদ আমীমুল ইহসান সাহেব (রহঃ)"	
"1022210"	"ডা. মো. জাহাঙ্গীর হোসেন"	
"1022211"	"মুজাহিদ রেজা"	
"1022212"	"দেবজ্যোতি ভট্টাচার্য"	
"1022213"	"অতনু প্রজ্ঞান বন্দ্যোপাধ্যায়"	
"1022214"	"সরোজ দরবার"	
"1022215"	"সুবীর বোস"	
"1022216"	"সুতপা ভট্টাচার্য বারুই"	
"1022217"	"নবনীতা সেন"	
"1022218"	"দেবাংশু সিনহা"	
"1022219"	"রামকৃষ্ণ ভট্টাচার্য সান্যাল"	
"1022220"	"সাইবার সম্পাদনা পর্ষদ"	
"1022221"	"দীপাঞ্জনা শর্মা"	
"1022222"	"রাজর্ষি দাশ ভৌমিক"	
"1022223"	"সৌরাংশু"	
"1022224"	"সঙ্ঘমিত্রা হালদার"	
"1022225"	"অর্ণব রয়"	
"1022226"	"সঙ্গীতা দাশগুপ্তরায়"	
"1022227"	"ড. মুফতী মুহাম্মদ গোলাম রব্বানী"	
"1022228"	"হাসনাইন আনজুম"	
"1022229"	"রণতোষ চক্রবর্তী"	
"1022230"	"মিহিরলাল রায়"	
"1022231"	"নিরঞ্জন সিংহ"	
"1022232"	"সঞ্জয়কুমার পন্ডা"	
"1022233"	"সুরেশ কুণ্ড"	
"1022234"	"সঙ্কর্ষণ রায়"	
"1022235"	"সামিত রায়চৌধুরী"	
"1022236"	"দীপকরঞ্জন চক্রবর্তী"	
"1022237"	"প্রবাল বর্মন"	
"1022238"	"উজ্জ্বল নন্দী"	
"1022239"	"মানিক সরকার"	
"1022240"	"ডঃসুব্রত কুমার চট্টোপাধ্যায়"	
"1022241"	"হিমাংশু শেখর"	
"1022242"	"সৌমেন্দ্র নাথ দাস"	
"1022243"	"ডঃসুশীলকুমার রুদ্র"	
"1022244"	"সুজিত হালদার"	
"1022245"	"অমিত সরকার"	
"1022246"	"চন্দাবতী রায়"	
"1022247"	"গণেশ মুখার্জী"	
"1022248"	"বামাদাস ভট্টাচার্য"	
"1022249"	"সেখ মোমতাজ উদ্দিন"	
"1022250"	"দিলীপ রায়"	
"1022251"	"দিলীপ চাকী"	
"1022252"	"নাসির আলি"	
"1022253"	"পুন্ডরীক চক্রবর্তী"	
"1022254"	"প্রত্যূষ কুমার রীত"	
"1022255"	"বুদ্ধেশ্বর টুডু"	
"1022256"	"অনন্ত কুমার ব্রহ্ম"	
"1022257"	"তাপসকুমার পোড়েল"	
"1022258"	"নিতাই কোঙার"	
"1022259"	"নির্মলেন্দু শাখারু"	
"1022260"	"শঙ্করদাস ঘোষ"	
"1022261"	"বিবেক মৈত্র"	
"1022262"	"ড.প্রদীপকুমার দত্ত"	
"1022263"	"পলাশ বরণ পাল"	
"1022264"	"শ্যাম সুন্দরম"	
"1022265"	"সুধীর দাশ"	
"1022266"	"জয়া প্রকাশনী"	
"1022267"	"সুনীলকুমার রায়"	
"1022268"	"মনোতোষ দাশগুপ্ত"	
"1022269"	"পীতম সেনগুপ্ত"	
"1022270"	"অচিন্ত্যকুমার মুখোপাধ্যায়"	
"1022271"	"ঋতুপর্ণ বিশ্বাস"	
"1022272"	"নারায়ণ শান্ডিল্য"	
"1022273"	"অলোক কুমার মুখোপাধ্যায়"	
"1022274"	"যোগমায়া প্রকাশনী"	
"1022275"	"রিক্তা দত্ত"	
"1022276"	"গৌর মিত্র"	
"1022277"	"অম্বরনাথ"	
"1022278"	"কল্যান চক্রবর্তী"	
"1022279"	"মীর আতিকুর রহমান"	
"1022280"	"তুলি ও কলম"	
"1022281"	"তনুজ লস্কর"	
"1022282"	"আকরাম সাবিত"	
"1022283"	"রবীন বন্দ্যোপাধ্যায়"	
"1022284"	"প্রকৌশলী মোঃ শফিউদ্দিন"	
"1022285"	"জাহিদ মামুন"	
"1022286"	"লুকমান হাকিম"	
"1022287"	"শাহীন আাকতার"	
"1022288"	"সালেহা বেগম"	
"1022289"	"দিলীপ কুমার মোহান্ত"	
"1022290"	"নবকুমার নন্দী"	
"1022291"	"জীবন মুখোপাধ্যায়"	
"1022292"	"অনিল চট্টোপাধ্যায়"	
"1022293"	"কৃষ্ণচন্দ্র ভূঞা"	
"1022294"	"সৌমিককান্তি ঘোষ"	
"1022295"	"পান্নালাল দাস"	
"1022296"	"নির্মাল্য ব্যানার্জী"	
"1022297"	"মনোজিৎ দাস"	
"1022298"	"সুনন্দা ভট্টাচার্য"	
"1022299"	"সুবিমল বসাক"	
"1022300"	"বানেশ্বর চক্রবর্তী"	
"1022301"	"সুনীতিমোহন বিশ্বাস"	
"1022302"	"সুনীল কুমার চন্দ"	
"1022303"	"শিখর রায়"	
