"BOOK_ID"	"BOOK_NAME"	"BOOK_GENRE"	"BOOK_EDITION"	"AUTHOR_ID"	"PUBLISHER_ID"	"PRICE"	"DISCOUNT"	"COUNTRY"	"LANGUAGE"	"SUMMARY"	"ISBN"	"PAGES"	"TOTAL_SOLD"	"RATINGS"	"NO_OF_RATINGS"
"10003567"	"মুজিবের রক্ত লাল"	"বাংলাদেশের রাজনৈতিক ইতিহাস ও ঘটনাবলি"	"1st Published, 2014"	"1000033"	"100003"	"450"	"15"	"Bangladesh"	"Bangla"		"9789849104728"	"319"	"3936"	"5"	"1"
"10008728"	"আমিই খালেদ মোশার্‌রফ"	"স্বাধীনতা উত্তর বাংলাদেশ"	"1st Published, 2017"	"1000033"	"100003"	"275"	"26"	"Bangladesh"	"Bangla"		"9789844323926"	"175"	"6204"	"4.83"	"6"
"10000064"	"নারীর রূপকথা"	"সমকালীন গল্প"	"2nd Printed, 2013"	"1000034"	"100003"	"200"	"12"	"Bangladesh"	"Bangla"		"9844126584"	"176"	"6217"	"5"	"1"
"10000504"	"হাঙর নদী গ্রেনেড"	"মুক্তিযুদ্ধের উপন্যাস"	"5th Printed, 2017"	"1000034"	"100003"	"150"	"12"	"Bangladesh"	"Bangla"		"9844122996"	"111"	"8453"	"4.94"	"17"
"10000066"	"প্রাচীন ইতিহাসের খোঁজে"	"শিশু-কিশোর উপন্যাস"	"1st Published, 2007"	"1000035"	"100003"	"300"	"15"	"Bangladesh"	"Bangla"		"9844126444"	"78"	"1876"	"5"	"1"
"10000067"	"কবিতাসমগ্র"	"কবিতা সমগ্র"	"2nd Printed, 2012"	"1000036"	"100003"	"551"	"15"	"Bangladesh"	"Bangla"		"9844126355"	"574"	"4766"	"5"	"1"
"10000068"	"বিশ্ব যখন ফুটবলময়"	"প্রসঙ্গ: খেলাধুলা"	"1st Published, 2007"	"1000037"	"100003"	"150"	"12"	"Bangladesh"	"Bangla"		"9844126568"	"146"	"1687"	"5"	"1"
"10000069"	"কাছের ক্রিকেট দূরের ক্রিকেট"	"প্রসঙ্গ: খেলাধুলা"	"1st Published, 2007"	"1000037"	"100003"	"251"	"15"	"Bangladesh"	"Bangla"		"9844126576"	"196"	"5763"	"5"	"1"
"10000063"	"চরমপত্র"	"গণমাধ্যম ও মুক্তিযুদ্ধ"	"4th Print, 2015"	"1000033"	"100003"	"451"	"15"	"Bangladesh"	"Bangla"		"9844126129"	"364"	"6412"	"5"	"5"
"10000072"	"মাটি ও মানুষের চাষবাস"	"কৃষি বিষয়ক প্রবন্ধ ও বিবিধ"	"2nd Printed, 2009"	"1000038"	"100003"	"300"	"15"	"Bangladesh"	"Bangla"		"9844125804"	"189"	"2858"	"5"	"10"
"10000073"	"ভ্রমণ সমগ্র"	"নানাদেশ ও ভ্রমণ"	"1st Published, 2006"	"1000039"	"100003"	"400"	"15"	"Bangladesh"	"Bangla"		"9844125197"	"496"	"4321"	"5"	"1"
"10000077"	"কবিতাসমগ্র - ২"	"কবিতা সমগ্র"	"2nd Printed, 2013"	"1000040"	"100003"	"451"	"15"	"Bangladesh"	"Bangla"		"9844125448"	"360"	"9061"	"5"	"2"
"10000078"	"অটোগ্রাফ"	"সাহিত্যিক, কবি ও সংগীত ব্যক্তিত্ব"	"1st"	"1000041"	"100003"	"150"	"12"	"Bangladesh"	"Bangla"		"9844125006"	"80"	"7044"	"5"	"1"
"10008026"	"প্রথম লেখার গল্প"	"বিবিধ প্রবন্ধ"	"1st Published , 2017"	"1000041"	"100003"	"275"	"15"	"Bangladesh"	"Bangla"		"9789844323643"	"159"	"2745"	"5"	"2"
"10000113"	"পরবাস"	"সমকালীন উপন্যাস"	"1st Published, 2005"	"1000068"	"100003"	"225"	"15"	"Bangladesh"	"Bangla"		"984412459X"	"298"	"9250"	"5"	"1"
"10006279"	"রোদেলা"	"সমকালীন উপন্যাস"	"1st Published, 2016"	"1000068"	"100003"	"275"	"15"	"Bangladesh"	"Bangla"		"9789844321649"	"160"	"5899"	"5"	"5"
"10000115"	"তপুর হারানো দিনগুলো"	"শিশু-কিশোর গল্প"	"1st Published, 2012"	"1000069"	"100003"	"150"	"12"	"Bangladesh"	"Bangla"		"984412493X"	"104"	"3173"	"5"	"1"
"10000130"	"মাইক্রোওয়েভ ওভেনে রান্না"	"রেসিপি"	"1st"	"1000070"	"100003"	"125"	"12"	"Bangladesh"	"Bangla"		"9844125611"	"76"	"7627"	"3.71"	"7"
"10000479"	"স্বাস্থ্য সচেতন রান্না"	"রেসিপি"	"1st Published, 2010"	"1000070"	"100003"	"350"	"15"	"Bangladesh"	"Bangla"		"9847010503494"	"88"	"3207"	"5"	"4"
"10000482"	"মজাদার রান্না"	"রেসিপি"	"6th Printed, 2016"	"1000070"	"100003"	"300"	"15"	"Bangladesh"	"Bangla"		"9844123569"	"327"	"5970"	"4.67"	"6"
"10003445"	"সোনালি দিনের রান্না"	"রেসিপি"	"1st Published, 2014"	"1000070"	"100003"	"450"	"15"	"Bangladesh"	"Bangla"		"9789849055952"	"104"	"8699"	"5"	"1"
"10006078"	"হারানো দিনের রান্না"	"রেসিপি"	"1st Published, 2016"	"1000070"	"100003"	"850"	"15"	"Bangladesh"	"Bangla"		"9789849055952"	"152"	"6082"	"5"	"1"
"10000136"	"নারীর জীবন যৌবন বার্ধক্য"	"নারী"	"1st"	"1000071"	"100003"	"125"	"12"	"Bangladesh"	"Bangla"		"9844124034"	"107"	"9778"	"5"	"1"
"10000138"	"আকাশের ওপারে আকাশ"	"সমকালীন উপন্যাস"	"1st"	"1000072"	"100003"	"150"	"12"	"Bangladesh"	"Bangla"		"9844124239"	"128"	"8385"	"5"	"1"
"10000140"	"পুতুলের মতো মেয়ে"	"সমকালীন উপন্যাস"	"2nd"	"1000073"	"100003"	"150"	"12"	"Bangladesh"	"Bangla"		"9844124069"	"96"	"8385"	"5"	"1"
"10000141"	"তিনটি প্রায়োপন্যাস"	"উপন্যাস সমগ্র/সংকলন"	"1st"	"1000074"	"100003"	"125"	"12"	"Bangladesh"	"Bangla"		"9844124344"	"141"	"7162"	"5"	"1"
"10000144"	"ওগো সুকন্যা"	"সমকালীন গল্প"	"1st"	"1000075"	"100003"	"130"	"12"	"Bangladesh"	"Bangla"		"984412381x"	"107"	"5523"	"4.88"	"8"
"10005170"	"ফুলেশ্বরী"	"সমকালীন গল্প"	"1st Published, 2016"	"1000075"	"100003"	"125"	"12"	"Bangladesh"	"Bangla"		"9789844320482"	"80"	"3786"	"5"	"9"
"10005275"	"এপারে আমি রাধা ওপারে তুমি"	"অনুবাদ গল্প"	"1st Published, 2016"	"1000075"	"100003"	"150"	"12"	"Bangladesh"	"Bangla"		"9789844320826"	"79"	"4460"	"5"	"2"
"10007103"	"সোনার টিকলি নয় মাধবীলতার গুচ্ছ"	"বাংলা কবিতা"	"1st Published, 2017"	"1000075"	"100003"	"120"	"12"	"Bangladesh"	"Bangla"		"9789844322318"	"64"	"7096"	"5"	"2"
"10007105"	"কংকালের সাথে এক রাত"	"ভৌতিক"	"1st Published, 2017"	"1000075"	"100003"	"150"	"12"	"Bangladesh"	"Bangla"		"9789844322530"	"87"	"2228"	"5"	"2"
"10000146"	"প্রেম ও প্রকৃতির কবিতা"	"বাংলা কবিতা"	"1st"	"1000077"	"100003"	"200"	"12"	"Bangladesh"	"Bangla"		"9844124077"	"232"	"3003"	"5"	"1"
"10002665"	"একাত্তরের একদল দুষ্টু ছেলে"	"মুক্তিযুদ্ধের উপন্যাস"	"4th Printed, 2013"	"1000086"	"100003"	"125"	"12"	"Bangladesh"	"Bangla"		"9789849038245"	"80"	"6719"	"5"	"7"
"10005727"	"গুড্ডুবুড়ার হাসির কাণ্ড গুড্ডুবুড়ার দারুণ কীর্তি"	"শিশু-কিশোর গল্প"	"1st Published, 2016"	"1000086"	"100003"	"125"	"12"	"Bangladesh"	"Bangla"		"9789844321465"	"64"	"3694"	"5"	"4"
"10007430"	"গুড্ডুবুড়ার হাসিসমগ্র"	"শিশু-কিশোরঃ রচনাসমগ্র/সংকলন"	"1st Published, 2017"	"1000086"	"100003"	"250"	"15"	"Bangladesh"	"Bangla"		"9789844322912"	"135"	"1810"	"5"	"4"
"10003967"	"কোনো কোনো রাত একলা এমন"	"রোমান্টিক উপন্যাস"	"1st, 2015"	"1000088"	"100003"	"160"	"12"	"Bangladesh"	"Bangla"		"9789849133025"	"96"	"6602"	"4.5"	"4"
"10000469"	"ধুলোমাটি আসক্তির বীজ"	"বাংলা কবিতা"	"First Published-2010"	"1000137"	"100003"	"120"	"12"	"Bangladesh"	"Bangla"		"9847010503197"	"72"	"7017"	"5"	"1"
"10003442"	"কোলকাতা কেন্দ্রিক বুদ্ধিজীবী"	"সমকালীন প্রবন্ধ"	"1st Published, 2014"	"1000033"	"100003"	"450"	"15"	"Bangladesh"	"Bangla"		"9789849071297"	"316"	"7475"	"5"	"2"
"10007597"	"আমাদের একুশে ফেব্রুয়ারি"	"কবিতাসমগ্র/সংকলন"	"1st Published, 2017"	"1000137"	"100003"	"325"	"15"	"Bangladesh"	"Bangla"		"9789844323094"	"200"	"9603"	"5"	"3"
"10008192"	"হারানো পুরানো"	"বাংলা কবিতা"	"1st Published, 2017"	"1000137"	"100003"	"200"	"12"	"Bangladesh"	"Bangla"		"9789844323728"	"80"	"5063"	"5"	"2"
"10000014"	"শামসুর রাহমান আল মাহমুদ : তফাৎ ও সাক্ষাৎ"	"সাক্ষাৎকার"	"1st Published, 2009"	"1000009"	"100003"	"200"	"12"	"Bangladesh"	"Bangla"		"9847010501872"	"175"	"7232"	"5"	"3"
"10000015"	"১/১১ সুশাসন বিতর্ক"	"৯০ এর দশক ও সমসাময়িক বাংলাদেশ"	"1st"	"1000010"	"100003"	"130"	"12"	"Bangladesh"	"Bangla"		"9847010501858"	"96"	"7194"	"3"	"2"
"10000016"	"চলমান চিত্র একসঙ্গে"	"প্রবন্ধ ও গবেষণা সমগ্র"	"1st"	"1000011"	"100003"	"125"	"12"	"Bangladesh"	"Bangla"		"9847010502107"	"112"	"4209"	"5"	"1"
"10000017"	"বকুল বিছানো পথে"	"ইতিহাস"	"1st Published, 2009"	"1000012"	"100003"	"150"	"12"	"Bangladesh"	"Bangla"		"9847010502268"	"95"	"2407"	"5"	"1"
"10000050"	"কমলা রঙের দিনগুলি"	"পেশাগত স্মৃতিচারণ ও অভিজ্ঞতা"	"1st Published, 2008"	"1000012"	"100003"	"130"	"12"	"Bangladesh"	"Bangla"		"9847010500929"	"104"	"8312"	"5"	"1"
"10006278"	"বাঁশি শুনে আর কাজ নাই"	"নারী"	"1st Published, 2016"	"1000012"	"100003"	"160"	"12"	"Bangladesh"	"Bangla"		"9789844321540"	"84"	"8775"	"5"	"1"
"10000018"	"উঠোন পেরিয়ে দুই পা"	"নানাদেশ ও ভ্রমণ"	"4rd Printed, 2014"	"1000013"	"100003"	"400"	"15"	"Bangladesh"	"Bangla"		"9847010501889"	"320"	"4359"	"4.58"	"19"
"10000029"	"নির্বাচিত ভূতের গল্প"	"গল্প সমগ্র/সংকলন"	"3th Printed, 2016"	"1000013"	"100003"	"300"	"15"	"Bangladesh"	"Bangla"		"9847010501353"	"207"	"8563"	"4.92"	"13"
