"PUBLISHER_ID"	"PUBLISHER_NAME"	"PUBLISHER_SUMMARY"
"101306"	"পাতা প্রকাশ"	
"101307"	"ছতুরা দরবার শরীফ"	
"101308"	"আমিন এন্ড জাহান কর্পোরেশন লিঃ"	
"101309"	"মাকতাবাতুল আনোয়ার"	
"101310"	"দারুল কিতাবওয়াত্তাছনীফ"	
"101311"	"মুহিউস সুন্নাহ প্রকাশনী"	
"101312"	"জাতীয় স্থানীয় সরকার ইনস্টিষ্টিউট (এনআইএলজি)"	
"101313"	"হাবিব প্রকাশনী"	
"101314"	"মাকতাবাতুদ দাওয়াহ"	
"101315"	"মাকতাবাতুত তাকী"	
"101316"	"তরুণ সাহিত্য প্রকাশ"	
"101317"	"হ্যাপি হোম এন্ড হেলথকেয়ার প্রকাশনী"	
"101318"	"মায়াকানন"	
"101319"	"শ্রীহট্ট প্রকাশ"	
"101320"	"ছায়ানীড়"	
"101321"	"সূর্য পাবলিশার্স (ভারত)"	
"101322"	"সপ্তর্ষি প্রকাশন (ভারত)"	
"101323"	"মাহফিল/দিলরুবা/সুবাহসাদিক"	
"101324"	"মাটি"	
"101325"	"মিসেস রওশন আরা আলম"	
"101326"	"সঙ্গীত শিক্ষার্থী সম্মিলন"	
"101327"	"সাহিত্য প্রকাশনী"	
"101328"	"মাকতাবাতুস সাফা মিসর"	
"101329"	"দারুল ফিকর বৈরুত"	
"101330"	"দারুত তাওফিকীয়া, মিসর"	
"101331"	"মাকতাবাতুল আসারিয়া, বৈরুত"	
"101332"	"আল মাকতাবুল ইসলামি, বৈরুত"	
"101333"	"আল ফারুকুল হাদীসা, কায়রো"	
"101334"	"দারুল কলম, দামেশক"	
"101335"	"মাকতাবাতুস সাকাফাতিদ দীনিয়া, মিসর"	
"101336"	"আল কুদুস, কায়রো"	
"101337"	"দারে ইবনে হাযাম,  বৈরুত"	
"101338"	"মাকতাবাতুল মাআরিফ, রিয়াদ"	
"101339"	"মাকতাবুল মাতবুয়াত আল ইসলামিয়া, সিরিয়া"	
